card_type,card_set,card_name,quest_type,quest_any_kind_requirement,plot_quest,intrigue_type,building_cost,quest_requirement_text,quest_reward_text,static_resources_text,owner_resources_text,resource_accum_text,building_location,card_text,quest_effects_text,quest_effects_text_zh,possible_lore_text,card_scene_name,image_large_id,image_file,display_name,source_file,variant_count,variant_card_names,translation_versions,zh_codex_name,zh_codex_card_text,zh_codex_possible_lore_text,zh_codex_building_location,zh_printed_name,zh_printed_card_text,zh_printed_possible_lore_text,zh_printed_building_location
building,base,Jesters' Court,,,False,,4,,,,1 rogue,"When this Building is put into play and at the start of each round, place 2 Rogues on this space.",Castle Ward,"Take all Rogues from this space. Owner takes 1 Rogue. When this Building is put into play and at the start of each round, place 2 Rogues on this space.",,,"Once a place where jugglers and comics performed, this alley between the Street of Silks and the Street of Silver has taken a more dangerous turn.",LW_Buildings_11,,,Jesters' Court,cards_buildings.lua,1,,"{""zh_codex"": {""label"": ""中文校译"", ""source"": ""Codex building translation using locked project terminology, local DND references, and rulebook building lore, 2026-06-02"", ""name"": ""弄臣庭院"", ""card_text"": ""拿取此行动格上的所有盗贼。拥有者拿取 1 个盗贼。此建筑放入场上时以及每轮开始时，在此行动格上放置 2 个盗贼。"", ""possible_lore_text"": ""这里曾是杂耍艺人与滑稽演员表演之处；如今，丝绸街与白银街之间的这条小巷已经变得危险得多。"", ""building_location"": ""城堡区""}, ""zh_printed"": {""label"": ""印刷版"", ""source"": ""User-provided printed building names, 2026-06-02"", ""name"": ""小丑巷"", ""card_text"": """", ""possible_lore_text"": """", ""building_location"": """"}}",弄臣庭院,拿取此行动格上的所有盗贼。拥有者拿取 1 个盗贼。此建筑放入场上时以及每轮开始时，在此行动格上放置 2 个盗贼。,这里曾是杂耍艺人与滑稽演员表演之处；如今，丝绸街与白银街之间的这条小巷已经变得危险得多。,城堡区,小丑巷,,,
building,base,New Olamn,,,False,,8,,,2 rogue; 1 wizard,,,Castle Ward,Take 2 Rogues and 1 Wizard. Owner takes 1 Rogue or 1 Wizard.,,,This college is one of the best places to learn the bardic arts and is famous throughout the Sword Coast.,LW_Buildings_12,,,New Olamn,cards_buildings.lua,1,,"{""zh_codex"": {""label"": ""中文校译"", ""source"": ""Codex building translation using locked project terminology, local DND references, and rulebook building lore, 2026-06-02"", ""name"": ""新奥拉姆"", ""card_text"": ""拿取 2 个盗贼和 1 个法师。拥有者拿取 1 个盗贼或 1 个法师。"", ""possible_lore_text"": ""这所学院是学习吟游技艺的最佳地点之一，在整个剑湾都享有盛名。"", ""building_location"": ""城堡区""}, ""zh_printed"": {""label"": ""印刷版"", ""source"": ""User-provided printed building names, 2026-06-02"", ""name"": ""新奥拉姆学院"", ""card_text"": """", ""possible_lore_text"": """", ""building_location"": """"}}",新奥拉姆,拿取 2 个盗贼和 1 个法师。拥有者拿取 1 个盗贼或 1 个法师。,这所学院是学习吟游技艺的最佳地点之一，在整个剑湾都享有盛名。,城堡区,新奥拉姆学院,,,
building,base,Northgate,,,False,,3,,,2 gold,2 VP,,North Ward,Take 1 Adventurer of any kind and 2 Gold. Owner scores 2 VP.,,,All trade between Waterdeep and the mining town of Mirabar inevitably flows through the Northgate.,LW_Buildings_13,,,Northgate,cards_buildings.lua,1,,"{""zh_codex"": {""label"": ""中文校译"", ""source"": ""Codex building translation using locked project terminology, local DND references, and rulebook building lore, 2026-06-02"", ""name"": ""北门"", ""card_text"": ""拿取任意 1 个冒险者和 2 金币。拥有者获得 2 VP。"", ""possible_lore_text"": ""深水城与矿业城镇米拉巴之间的所有贸易，最终都会流经北门。"", ""building_location"": ""北区""}, ""zh_printed"": {""label"": ""印刷版"", ""source"": ""User-provided printed building names, 2026-06-02"", ""name"": ""北大门"", ""card_text"": """", ""possible_lore_text"": """", ""building_location"": """"}}",北门,拿取任意 1 个冒险者和 2 金币。拥有者获得 2 VP。,深水城与矿业城镇米拉巴之间的所有贸易，最终都会流经北门。,北区,北大门,,,
building,base,The Palace of Waterdeep,,,False,,4,,,,2 VP,,Castle Ward,"Take the Ambassador. At the start of the next round, you assign the Ambassador before any other player's turn. Owner scores 2 VP.",,,This white marble palace stands as a shining symbol of the Lords’ Rule and is home to many embassies.,LW_Buildings_14,,,"Palace of Waterdeep, The",cards_buildings.lua,1,,"{""zh_codex"": {""label"": ""中文校译"", ""source"": ""Codex building translation using locked project terminology, local DND references, and rulebook building lore, 2026-06-02"", ""name"": ""深水城宫殿"", ""card_text"": ""拿取大使。下一轮开始时，你先于其他所有玩家指派大使。拥有者获得 2 VP。"", ""possible_lore_text"": ""这座白色大理石宫殿是领主统治的闪耀象征，也容纳着众多使馆。"", ""building_location"": ""城堡区""}, ""zh_printed"": {""label"": ""印刷版"", ""source"": ""User-provided printed building names, 2026-06-02"", ""name"": ""深水城宫殿"", ""card_text"": """", ""possible_lore_text"": """", ""building_location"": """"}}",深水城宫殿,拿取大使。下一轮开始时，你先于其他所有玩家指派大使。拥有者获得 2 VP。,这座白色大理石宫殿是领主统治的闪耀象征，也容纳着众多使馆。,城堡区,深水城宫殿,,,
building,base,The Skulkway,,,False,,4,,,2 gold; 1 fighter; 1 rogue,,,Sea Ward,"Take 1 Fighter, 1 Rogue, and 2 Gold. Owner takes 1 Fighter or 1 Rogue.",,,Smugglers used this short alleyway to move goods under the noses of the City Guard.,LW_Buildings_15,,,"Skulkway, The",cards_buildings.lua,1,,"{""zh_codex"": {""label"": ""中文校译"", ""source"": ""Codex building translation using locked project terminology, local DND references, and rulebook building lore, 2026-06-02"", ""name"": ""潜踪道"", ""card_text"": ""拿取 1 个战士、1 个盗贼和 2 金币。拥有者拿取 1 个战士或 1 个盗贼。"", ""possible_lore_text"": ""走私者曾利用这条短巷，在城市守卫眼皮底下搬运货物。"", ""building_location"": ""海区""}, ""zh_printed"": {""label"": ""印刷版"", ""source"": ""User-provided printed building names, 2026-06-02"", ""name"": ""隐秘小径"", ""card_text"": """", ""possible_lore_text"": """", ""building_location"": """"}}",潜踪道,拿取 1 个战士、1 个盗贼和 2 金币。拥有者拿取 1 个战士或 1 个盗贼。,走私者曾利用这条短巷，在城市守卫眼皮底下搬运货物。,海区,隐秘小径,,,
building,base,Spires of the Morning,,,False,,4,,,,2 VP,"When this Building is put into play and at the start of each round, place 1 Cleric on this space.",Castle Ward,"Take all Clerics from this space. Owner scores 2 VP. When this Building is put into play and at the start of each round, place 1 Cleric on this space.",,,Eight golden spires adorn this walled garden temple dedicated to the god of the dawn.,LW_Buildings_16,,,Spires of the Morning,cards_buildings.lua,1,,"{""zh_codex"": {""label"": ""中文校译"", ""source"": ""Codex building translation using locked project terminology, local DND references, and rulebook building lore, 2026-06-02"", ""name"": ""晨曦尖塔"", ""card_text"": ""拿取此行动格上的所有牧师。拥有者获得 2 VP。此建筑放入场上时以及每轮开始时，在此行动格上放置 1 个牧师。"", ""possible_lore_text"": ""八座金色尖塔装点着这座围墙花园神殿；它献给黎明之神。"", ""building_location"": ""城堡区""}, ""zh_printed"": {""label"": ""印刷版"", ""source"": ""User-provided printed building names, 2026-06-02"", ""name"": ""黎明尖塔神殿"", ""card_text"": """", ""possible_lore_text"": """", ""building_location"": """"}}",晨曦尖塔,拿取此行动格上的所有牧师。拥有者获得 2 VP。此建筑放入场上时以及每轮开始时，在此行动格上放置 1 个牧师。,八座金色尖塔装点着这座围墙花园神殿；它献给黎明之神。,城堡区,黎明尖塔神殿,,,
building,base,Smuggler's Dock,,,False,,4,,,,2 gold,,Castle Ward,Spend 2 Gold. Take 4 x Fighter/Rogue. Owner takes 2 Gold.,,,"This is the private dock of the suspected Lord of Waterdeep, Mirt the Moneylender.",LW_Buildings_17,,,Smuggler's Dock,cards_buildings.lua,1,,"{""zh_codex"": {""label"": ""中文校译"", ""source"": ""Codex building translation using locked project terminology, local DND references, and rulebook building lore, 2026-06-02"", ""name"": ""走私者码头"", ""card_text"": ""支付 2 金币。拿取共 4 个战士/盗贼，任意组合。拥有者拿取 2 金币。"", ""possible_lore_text"": ""这里是疑似深水城领主、放债人米尔特的私人码头。"", ""building_location"": ""城堡区""}, ""zh_printed"": {""label"": ""印刷版"", ""source"": ""User-provided printed building names, 2026-06-02"", ""name"": ""走私者码头"", ""card_text"": """", ""possible_lore_text"": """", ""building_location"": """"}}",走私者码头,支付 2 金币。拿取共 4 个战士/盗贼，任意组合。拥有者拿取 2 金币。,这里是疑似深水城领主、放债人米尔特的私人码头。,城堡区,走私者码头,,,
building,base,The Stone House,,,False,,4,,,,2 gold,,South Ward,Gain 1 Gold for each Building tile in play. Owner takes 2 Gold.,,,"The home of the Carpenters’, Roofers’, and Plaisterers’ Guild, which has grown extremely rich from nobles’ efforts to upstage their neighbors’ villas.",LW_Buildings_18,,,"Stone House, The",cards_buildings.lua,1,,"{""zh_codex"": {""label"": ""中文校译"", ""source"": ""Codex building translation using locked project terminology, local DND references, and rulebook building lore, 2026-06-02"", ""name"": ""石屋"", ""card_text"": ""场上每有 1 个建筑板块，你获得 1 金币。拥有者拿取 2 金币。"", ""possible_lore_text"": ""这里是木匠、屋顶匠与泥瓦匠行会的会所；贵族们争相让自家别墅压过邻居，使这个行会变得极为富有。"", ""building_location"": ""南区""}, ""zh_printed"": {""label"": ""印刷版"", ""source"": ""User-provided printed building names, 2026-06-02"", ""name"": ""石屋行会"", ""card_text"": """", ""possible_lore_text"": """", ""building_location"": """"}}",石屋,场上每有 1 个建筑板块，你获得 1 金币。拥有者拿取 2 金币。,这里是木匠、屋顶匠与泥瓦匠行会的会所；贵族们争相让自家别墅压过邻居，使这个行会变得极为富有。,南区,石屋行会,,,
building,base,The Three Pearls,,,False,,4,,,,2 gold,,Dock Ward,Return 2 Adventurers of any kind to the supply. Take 3 Adventurers of any kind. Owner takes 2 Gold.,,,This expensive nightclub is named for its original purchase price: three black pearls torn from a dancer’s outfit.,LW_Buildings_19,,,"Three Pearls, The",cards_buildings.lua,1,,"{""zh_codex"": {""label"": ""中文校译"", ""source"": ""Codex building translation using locked project terminology, local DND references, and rulebook building lore, 2026-06-02"", ""name"": ""三颗珍珠"", ""card_text"": ""将任意 2 个冒险者返回供应区。拿取任意 3 个冒险者。拥有者拿取 2 金币。"", ""possible_lore_text"": ""这家昂贵夜总会得名于它最初的购价：从一名舞者服装上扯下的三颗黑珍珠。"", ""building_location"": ""港口区""}, ""zh_printed"": {""label"": ""印刷版"", ""source"": ""User-provided printed building names, 2026-06-02"", ""name"": ""三珠夜总会"", ""card_text"": """", ""possible_lore_text"": """", ""building_location"": """"}}",三颗珍珠,将任意 2 个冒险者返回供应区。拿取任意 3 个冒险者。拥有者拿取 2 金币。,这家昂贵夜总会得名于它最初的购价：从一名舞者服装上扯下的三颗黑珍珠。,港口区,三珠夜总会,,,
building,base,The Tower of Luck,,,False,,8,,,1 cleric; 2 rogue,,,Sea Ward,Take 1 Cleric and 2 Rogues. Owner takes 1 Cleric or 1 Rogue.,,,Donations to Tymora from those who survived the depths of Undermountain quickly paid for the construction of this temple.,LW_Buildings_20,,,"Tower of Luck, The",cards_buildings.lua,1,,"{""zh_codex"": {""label"": ""中文校译"", ""source"": ""Codex building translation using locked project terminology, local DND references, and rulebook building lore, 2026-06-02"", ""name"": ""幸运之塔"", ""card_text"": ""拿取 1 个牧师和 2 个盗贼。拥有者拿取 1 个牧师或 1 个盗贼。"", ""possible_lore_text"": ""那些从地脉迷城深处幸存归来的人向泰摩拉捐献，迅速支付了这座神殿的建造费用。"", ""building_location"": ""海区""}, ""zh_printed"": {""label"": ""印刷版"", ""source"": ""User-provided printed building names, 2026-06-02"", ""name"": ""幸运女神塔"", ""card_text"": """", ""possible_lore_text"": """", ""building_location"": """"}}",幸运之塔,拿取 1 个牧师和 2 个盗贼。拥有者拿取 1 个牧师或 1 个盗贼。,那些从地脉迷城深处幸存归来的人向泰摩拉捐献，迅速支付了这座神殿的建造费用。,海区,幸运女神塔,,,
building,base,Tower of the Order,,,False,,4,,,,,"When this Building is put into play and at the start of each round, place 1 Wizard on this space.",Castle Ward,"Take all Wizards from this space. Owner takes 1 Intrigue card. When this Building is put into play and at the start of each round, place 1 Wizard on this space.",,,This impressive structure is the headquarters of the Watchful Order of Magists & Protectors.,LW_Buildings_21,,,Tower of the Order,cards_buildings.lua,1,,"{""zh_codex"": {""label"": ""中文校译"", ""source"": ""Codex building translation using locked project terminology, local DND references, and rulebook building lore, 2026-06-02"", ""name"": ""秩序之塔"", ""card_text"": ""拿取此行动格上的所有法师。拥有者拿取 1 张阴谋卡。此建筑放入场上时以及每轮开始时，在此行动格上放置 1 个法师。"", ""possible_lore_text"": ""这座宏伟建筑是守望法师与护卫者结社的总部。"", ""building_location"": ""城堡区""}, ""zh_printed"": {""label"": ""印刷版"", ""source"": ""User-provided printed building names, 2026-06-02"", ""name"": ""秩序之塔"", ""card_text"": """", ""possible_lore_text"": """", ""building_location"": """"}}",秩序之塔,拿取此行动格上的所有法师。拥有者拿取 1 张阴谋卡。此建筑放入场上时以及每轮开始时，在此行动格上放置 1 个法师。,这座宏伟建筑是守望法师与护卫者结社的总部。,城堡区,秩序之塔,,,
building,base,The Waymoot,,,False,,4,,,,2 VP,"When this Building is put into play and at the start of each round, place 3 VP on this space.",South Ward,"Take and score all VP from this space. Take 1 face-up Quest card from Cliffwatch Inn. Owner scores 2 VP. When this Building is put into play and at the start of each round, place 3 VP on this space.",,,Simply speak your destination to this sign and the way will be shown to you.,LW_Buildings_22,,,"Waymoot, The",cards_buildings.lua,1,,"{""zh_codex"": {""label"": ""中文校译"", ""source"": ""Codex building translation using locked project terminology, local DND references, and rulebook building lore, 2026-06-02"", ""name"": ""路会广场"", ""card_text"": ""拿取此行动格上的所有 VP 并计分。从崖望旅馆拿取 1 张面朝上的任务卡。拥有者获得 2 VP。此建筑放入场上时以及每轮开始时，在此行动格上放置 3 VP。"", ""possible_lore_text"": ""只要对这块路标说出目的地，道路就会向你显现。"", ""building_location"": ""南区""}, ""zh_printed"": {""label"": ""印刷版"", ""source"": ""User-provided printed building names, 2026-06-02"", ""name"": ""指路魔牌"", ""card_text"": """", ""possible_lore_text"": """", ""building_location"": """"}}",路会广场,拿取此行动格上的所有 VP 并计分。从崖望旅馆拿取 1 张面朝上的任务卡。拥有者获得 2 VP。此建筑放入场上时以及每轮开始时，在此行动格上放置 3 VP。,只要对这块路标说出目的地，道路就会向你显现。,南区,指路魔牌,,,
building,base,The Yawning Portal,,,False,,4,,,,,,Castle Ward,Take 2 Adventurers of any kind. Owner takes 1 Adventurer of any kind.,,,"This famous inn, featuring the only known public entry to Undermountain, attracts adventurers of every sort.",LW_Buildings_23,,,"Yawning Portal, The",cards_buildings.lua,1,,"{""zh_codex"": {""label"": ""中文校译"", ""source"": ""Codex building translation using locked project terminology, local DND references, and rulebook building lore, 2026-06-02"", ""name"": ""哈欠门酒馆"", ""card_text"": ""拿取任意 2 个冒险者。拥有者拿取任意 1 个冒险者。"", ""possible_lore_text"": ""这家著名旅馆拥有通向地脉迷城的唯一已知公共入口，吸引着各式各样的冒险者。"", ""building_location"": ""城堡区""}, ""zh_printed"": {""label"": ""印刷版"", ""source"": ""User-provided printed building names, 2026-06-02"", ""name"": ""哈欠门酒馆"", ""card_text"": """", ""possible_lore_text"": """", ""building_location"": """"}}",哈欠门酒馆,拿取任意 2 个冒险者。拥有者拿取任意 1 个冒险者。,这家著名旅馆拥有通向地脉迷城的唯一已知公共入口，吸引着各式各样的冒险者。,城堡区,哈欠门酒馆,,,
